"betaAA","phi","kappa","alpha","zeta","betaHA"
0.103789113526192,0.0236721763532215,1.47737279146996,0.509854482026338,0.322995084600983,0.000188407678805534
0.0492808966993395,0.0372236461205019,0.966998289129292,0.205435802934503,0.358349267778375,0.000189589277056962
0.0387923920346706,0.0166136697716265,0.550167539221322,0.0333144850976553,0.427612831600281,4.46625118336639e-05
0.132815632843075,0.0122755373798581,1.01632226306814,0.18876583535561,0.799116701889679,0.000192333749819605
0.0875665547336606,0.00807853227760208,0.935371143558827,0.46276760729739,0.790892460831385,0.000165556434329837
0.244185328132587,0.0159472561452313,1.02820745273927,0.035331726588372,0.309083564906097,6.45713862681516e-05
0.0490319413512246,0.0250023982046775,1.83224042872542,0.472099511157807,0.319452162459556,0.000226894170622009
0.214067130929609,0.0575073214011924,1.50519717619129,0.390452125062819,0.822716947261029,6.71425577197389e-05
0.130126318433342,0.0727006789269143,1.56123339457131,0.198061419930001,0.360581200748896,7.89060855251216e-05
0.127759377614448,0.0346907677298627,1.27774778746198,0.381486419383782,0.815263287087376,8.42295695592245e-05
0.00722173437443854,0.0642795999704318,0.888246955042735,0.12270212980395,0.592815514110744,0.000161859155232733
0.161922734127219,0.0326327502653983,0.160077619114763,0.0774234331482112,0.472813870201344,0.000182676505391934
0.123019864619283,0.0164206986797919,1.3189482479674,0.372911893805716,0.854655214922701,4.74580560498334e-05
0.033574531102041,0.0357819218761677,1.78396181273941,0.177896009925636,0.714989543527074,0.000209818672953899
0.204051900673057,0.0200561135128087,1.39956027731617,0.296821005739091,0.996946854657902,9.74267754171887e-05
0.0494303218386841,0.0274724287497325,0.649675864997389,0.197577615789375,0.380475909688762,0.00010893197581184
0.0963400001798551,0.0220840755303372,0.797468429622543,0.214578566659846,0.896853573595442,0.000199163916142354
0.212011386813895,0.0537877150026977,1.92496401213687,0.186946377384386,0.878356479970604,6.77976272884532e-05
0.0715128840203574,0.0803393426995267,1.74093749624888,0.125765837139066,0.34280309566037,0.000188851046862713
0.0617190903207948,0.0629280089008442,1.10257547144461,0.157545284383807,0.889172435706196,0.000146503077049107
0.0441985440925765,0.0474556782079487,1.66523455105683,0.103713560387306,0.762600035360491,0.000242429594151507
0.205611098134756,0.0545789249241019,1.35473735181679,0.300292085033465,0.523650413593628,0.000243317378054091
