"betaAA","phi","kappa","alpha","zeta","betaHA"
0.210971356718801,0.041669168160297,0.980130021926016,0.171217926462839,0.194203780032694,0.000256701581762172
0.0709580531693064,0.0807781605515629,1.83616161206737,0.0852439868829631,0.6702411910519,0.000269005347276106
0.231884638720658,0.0575427294941619,1.06712274067104,0.171368732030364,0.562077741604298,8.23442148976028e-05
0.184437954507302,0.0167722476646304,1.13378375209868,0.157637755494958,0.587067445274442,0.000243637975654565
0.123662104888353,0.0496131489053369,0.901015377603471,0.0285890761129463,0.583654693793505,6.86222515068948e-05
0.0206579305231571,0.0550767393549904,1.84227972151712,0.0489314595145759,0.61561393039301,0.000108853436424397
0.142942693433724,0.0226067902054638,1.75814337702468,0.452824852666954,0.542677619028836,0.000167072035954334
0.191241007472854,0.0277021049521863,0.318427888676524,0.0814342116746021,0.932609765091911,8.47566907759756e-06
0.0253937009256333,0.0377227238379419,0.581824302207679,0.102127553325887,0.311769083375111,2.92963377432898e-05
0.233923979278188,0.0432702540187165,0.818816945888102,0.249721716812796,0.566896868869662,0.000200405507348478
0.190296792134177,0.0573775279335678,0.980436004698277,0.100024353821132,0.837197093525901,0.000248872597469017
0.193515763035975,0.0527506552170962,1.22619488695636,0.108318086709276,0.243734600488096,0.000164734804653563
0.0531675565289333,0.0727123874239624,1.81592622864991,0.0432137062752643,0.574972603935748,0.000116230786894448
0.0630758070619777,0.00648313399869949,0.423322690185159,0.251084984080193,0.590672441059723,0.000133817733731121
0.211529421212617,0.0328860744135454,1.86782343033701,0.0610942641262064,0.81966726644896,0.000134410604718141
0.16371552075725,0.0622085640439764,0.999825748614967,0.0406174349012171,0.888794142520055,0.000133940045372583
0.240208735340275,0.0318376378854737,0.850409119389951,0.0297049819612516,0.328501536976546,6.09814974013716e-05
0.0700219710124657,0.0439194930018857,1.11624477384612,0.268254222878426,0.569585893303156,0.000205469448352233
0.00886388629442081,0.0472433564020321,0.320727740414441,0.0880442999936318,0.0742917559109628,0.000340426010661758
0.0824848332558759,0.0180641896557063,1.82051609549671,0.249748360657804,0.286123883910477,8.03432845277712e-05
0.066168308025226,0.0499421979067847,0.797398889902979,0.0761888114843726,0.289426259696484,0.000149439504137263
0.20677264383994,0.0201666580978781,0.377808046061546,0.0867948928628998,0.811007066164166,5.32376224873587e-05
0.0949317432241514,0.0289384957635775,0.518859336152673,0.0264582766455842,0.364332943921909,0.000229243724490516
0.0847354668658227,0.0187052595429122,1.40760051319376,0.0530873226480937,0.59214575169608,2.93352456064895e-05
0.0213471559691243,0.0449613918084651,1.99004821106791,0.160515615451957,0.491258345777169,0.000299608799279667
0.109445111011155,0.00933087409939617,0.467662720941007,0.0110746986394563,0.150348425842822,0.000255934814107604
0.000413291796576232,0.0242875548312441,0.878772862721235,0.193966123460067,0.596470972988755,0.000172641092212871
0.130166962742805,0.0148822878720239,1.04105236520991,0.0470188803363648,0.912604735000059,0.000161775704124011
0.132420732988976,0.0610936744371429,1.33103545056656,0.0854676925739132,0.831807974725962,0.00012727293453645
0.0307755007524975,0.0158208104781806,1.20998022984713,0.159750158549003,0.210178914247081,1.02889853296801e-05
0.196518205222674,0.0241141362115741,0.799578694626689,0.128741292767329,0.400651848642156,0.000257680201437324
0.197119763761293,0.00549403496552259,1.7115243091248,0.346301823536748,0.946251086657867,0.000122442187974229
0.0721732811653055,0.0425719297025353,1.13725515687838,0.0786559845079829,0.563477682415396,0.0001033685534494
0.1220039066975,0.0329913354013115,1.62726844102144,0.150427005037741,0.736203138716519,0.000197916235541925
0.134216784266755,0.0464903530431911,1.5018569920212,0.172661500889202,0.588456140831113,0.00014150109840557
0.155336685478687,0.00242554612923414,0.177597012370825,0.142932085329824,0.160378806758672,7.07000803668052e-05
0.11442572332453,0.0227794289123267,0.200392748694867,0.272721091889938,0.355459434911609,8.09227620484307e-05
0.182948263187427,0.0142675520852208,0.443377321120352,0.310851919565607,0.645637257024646,0.000115061257150956
0.211729617381934,0.0396303172688931,1.86836361698806,0.0201224438496259,0.875917147612199,0.000198726571281441
0.0326658842386678,0.0190462548052892,0.326861863490194,0.130735615059597,0.101440184284002,0.000267382445628755
0.222589705081191,0.0274333211127669,0.318652717396617,0.137311567035352,0.114702936029062,0.000215779847232625
0.0162652945728041,0.0526862360769883,1.91398616554216,0.29042040444447,0.931163207627833,0.000194786830805242
0.0633338788757101,0.0236447462579235,0.570263819303364,0.149975978526664,0.519808576209471,0.000268753787851892
0.109055956650991,0.0262183863902465,0.102502814028412,0.132672706483241,0.665582028217614,3.19847477367148e-05
0.169488564832136,0.0324780524941161,1.45823299558833,0.0169907431914932,0.176738975336775,0.000126703821704723
0.198605720070191,0.0233163545839489,0.672143768984824,0.103784600921539,0.551614369498566,9.82276272261515e-05
0.0773321056040004,0.0192653657170013,0.956695920787752,0.177568156230591,0.586757093667984,5.4324421682395e-05
0.176692790759262,0.0217616602312773,1.21179817384109,0.0666025374004496,0.147462718887255,0.00020296186232008
0.0143870988395065,0.00860969678033143,0.46720546670258,0.185161331411403,0.545042770681903,0.000217191181262024
0.11582131870091,0.00478245196864009,0.721530195791274,0.0518684648551481,0.826472997665405,0.000258684436092153
0.247260962089058,0.0527982057072222,1.48217952111736,0.0408597045680044,0.164859318407252,0.000265540731488727
0.00813602277776226,0.0380022358382121,0.189902581274509,0.0872783778558657,0.925611309707165,3.20063035469502e-05
0.0999471573159099,0.0277607625350356,0.866975395008922,0.0347358605010349,0.847398183308542,0.000168680694303475
0.246522655535955,0.0255584448343143,1.60004411125556,0.366847131365293,0.628432075493038,2.48929451918229e-05
0.0846771211945452,0.0304901882307604,0.921128418762237,0.146477401746581,0.84755202755332,0.000191799820167944
0.0619447238277644,0.0607524883700535,0.533125840593129,0.0200569997955944,0.935383060248569,0.000126505293766968
0.195399847114459,0.0267139822710305,1.8402829458937,0.162454489979638,0.381934489356354,6.28006516490132e-06
0.126955275773071,0.0506827222183347,1.49505006475374,0.216076675409173,0.137115702265874,0.000270614479086362
0.197335810807999,0.0432149017695338,0.328266960568726,0.189463230006856,0.872980304295197,0.000113642694894224
0.0350393584230915,0.030618328624405,1.71633273735642,0.323005706229349,0.286703866440803,0.000325036389287561
0.0422994573018514,0.0144417347153649,1.96785068325698,0.150967657329719,0.394434623187408,0.000256680649123155
0.0189376995549537,0.0246721682604402,1.57141073187813,0.0890457647994737,0.286062258761376,0.00025472527416423
0.124551566783339,0.0319612694671378,0.321539735421538,0.0769092808267506,0.635851274710149,0.000183854105649516
