"betaAA","phi","kappa","alpha","zeta","betaHA"
0.185427863148681,0.0112012200295185,0.198659405140026,0.452343409922909,0.408006408028341,0.000170319368115404
0.141442988687571,0.0121461065180956,0.0417479518679685,0.402383713129096,0.767493189383141,0.000176469766989913
0.0214351476710764,0.0202509849187599,1.00013826773568,0.393108374517932,0.771571992922997,0.000156023845155208
0.0490583931910906,0.0230079307751933,1.18540827098286,0.278444577409894,0.933317062590771,0.000158764410358873
0.102896796242778,0.0125331698207715,0.753775997681125,0.451536503354827,0.598330760934067,0.000173300472426005
0.0506348927419408,0.00669427731601404,0.653306033724873,0.542027200895012,0.902427597099848,0.000197248361702103
0.107235388015594,0.0164677968430094,0.994180590571247,0.43955368781132,0.892927022132216,0.000179697455060657
0.153692099565433,0.0145878358611711,0.170314113004048,0.305367588378145,0.831121828037061,0.00016436364027085
0.0140986951962948,0.0153393585445912,0.550662425143924,0.385257349032135,0.710495634065938,0.000173651538328726
0.121760162853128,0.0218004008158151,1.41943711834983,0.360964716138181,0.443823273358722,0.000167456602013347
0.162357355566137,0.0192321730172417,1.53847383387393,0.389364296516781,0.441902859717807,0.000179647369178091
0.0717050891040065,0.012094672954509,0.537436096419069,0.462881371414905,0.685218367654894,0.000170362551319762
0.105437333720264,0.0067658454348667,0.193769867900877,0.494899340265682,0.303340095854081,0.000177475016263493
0.0848056219515853,0.0225606313257739,1.05160648290139,0.295742583020943,0.920619279734695,0.000168171195079565
0.0643187481555502,0.0114013102682858,0.428732071925453,0.448797883188155,0.07018699129971,0.00021811526805709
0.16595083091019,0.0180341395091044,1.57258612263028,0.423011478506202,0.275454722989385,0.000175491858646738
0.0309722758919343,0.0193852409020869,1.38676891197244,0.401391299525472,0.715338263003063,0.000162569290201334
0.00996039891548193,0.017911834091496,0.821524297480214,0.400025480931222,0.638845541826402,0.000178794885282409
0.00331616660643489,0.010923385238234,0.124760703562427,0.433070571811655,0.671009661727765,0.000164126440045644
0.0717033334731523,0.00636354610821249,0.146744634626977,0.494378705763151,0.327294091662414,0.000182813418508709
0.102162014473002,0.0051249631580899,0.141917528041716,0.550155608273934,0.111541480949856,0.000201927423534145
0.00496644480220275,0.0169557141613057,0.821458322758137,0.350783821290475,0.69128329599129,0.000174438810522747
0.0788607475531663,0.0205930603089308,1.54454026406937,0.345890397793392,0.852865438135325,0.000159864327990603
0.0125402011987423,0.00779121187134071,0.619677865159884,0.498758567023858,0.418830185010635,0.00019358968405258
0.135985179394127,0.0133381268355984,0.337429310172289,0.418416172974838,0.339080810420193,0.000181274824819758
0.098174274676578,0.0112144183963217,0.86388215123814,0.430408801348833,0.727994468597492,0.000187445599838837
0.126896985766156,0.0236335948412049,1.70540571373225,0.393239286516348,0.883864017584121,0.000162857222888674
0.189788988496367,0.0139391289247329,0.901331560259591,0.452792692398165,0.488379194284934,0.000175403742992554
0.109022524778046,0.0163190781953381,1.58657270121329,0.466570201080093,0.35163931157619,0.000185570646430623
0.197455781181855,0.0245513958159567,1.96386536954053,0.335381294092495,0.529660844844082,0.000167800408119791
0.0130600159715959,0.0145892891541726,1.51487092128058,0.453515271079962,0.376529733977736,0.000191998743995255
0.061454354518012,0.0238267789010397,1.6076330180453,0.385719835703356,0.548429728428721,0.000176827383991343
0.0520819861131445,0.0142139559267524,1.20384214458849,0.458846215833944,0.677561289438535,0.000177320655544615
0.181159908197527,0.0115240891030725,0.104647427964967,0.362704385814694,0.553280731224327,0.000177245121991622
0.0485114963460483,0.0234842059643723,1.30201366475672,0.322502259051576,0.718975507532697,0.000159330030831025
0.164454440816269,0.0124755602608846,1.42742929838147,0.475393234841518,0.179880537528298,0.00019285988640488
0.140236331373944,0.0219512331413141,1.48633946371613,0.319833615385721,0.529127278877334,0.000163635072528576
0.0900584667650518,0.0138404135931994,0.639631893037611,0.405152658522321,0.911611420423838,0.000174023419014666
0.116965701770266,0.0112225391554132,1.47987849104531,0.539063708672302,0.803893217017357,0.000204502778660373
0.190362898274037,0.0141980475477937,0.0683592013734186,0.381251316333219,0.351611115777844,0.000165023780466504
0.0264445121499711,0.0179915124933925,0.799269590633559,0.371784617749605,0.45214534280627,0.000170694335655187
0.109067591323349,0.00999980503183028,1.32758557084154,0.528901799916824,0.217394994975198,0.000214774429972961
0.19680072718561,0.0267699399026887,1.99908175321509,0.289553904574117,0.500883770660896,0.000168277788852975
0.160172432047555,0.0174333308925908,1.45063436741008,0.385736354250792,0.212305148517944,0.000180402326422669
0.0814392157025564,0.0148910294309387,0.469254001768572,0.391212310841553,0.086197643656767,0.000177331450472275
0.188353610405278,0.0156880878187635,0.901191689545267,0.367170001843096,0.513861225460525,0.000166384132379198
0.166305486048176,0.0166718306530693,1.13575943620925,0.368922757790097,0.55831660151318,0.000164957112790126
0.0137392769131456,0.0130677640640851,1.15331943473197,0.468933824327365,0.890883865183831,0.000181772207857496
0.0864722762744522,0.00744465983413869,1.04840746071574,0.5530501942219,0.104043752040643,0.000217552416682822
0.0659725263492228,0.022969842029924,1.53459501012463,0.39831991105036,0.370879799069697,0.000177891387702246
0.0391050382564149,0.0198341091028411,1.00717799553134,0.318279545687198,0.422209384264853,0.000159452882435355
0.0367587108676888,0.01221945103778,0.834032384603142,0.47905511691908,0.569295156006234,0.000191049358729996
0.0319880854845768,0.0167194530856917,1.91992685014292,0.467686598953701,0.482018263396814,0.000179988697009086
0.0982722878366366,0.0207056727228362,1.66974167130453,0.385435908396438,0.656900154881926,0.00016532583320193
0.0471008258191236,0.00989797075019068,0.688786825700204,0.507760478256373,0.761780884881945,0.0001914139413482
0.13594838072344,0.0174175387212151,1.02529514181513,0.34635351794042,0.337427273963651,0.000179343194839562
0.197918462439544,0.0146092959686536,0.574643030974599,0.34581442604272,0.696716755373443,0.000170375859852484
0.110065924723272,0.011285142568703,1.08995852121955,0.457305457548004,0.382066568002627,0.000184185815033482
0.0822799161252651,0.0165758429615154,1.16391102363165,0.417146007974044,0.247652183144125,0.000196835819553115
0.0664918526661097,0.0205595509846248,0.542511824082903,0.295415429287045,0.529425549191514,0.000164333394585214
0.110960769310932,0.0214604362162328,1.73327022012264,0.387379467012168,0.719751124762698,0.000176610291564231
0.0884991284640794,0.0164810909155178,1.27413177220254,0.39269680778759,0.697564352440005,0.000178972590468737
0.056976296895657,0.0185885841181387,1.18300048216779,0.426989194947477,0.454399856047738,0.000187539423676011
0.146801252492146,0.00674366332125336,0.519590803731969,0.487767547562427,0.462936966581189,0.000179821119616427
0.0969179341254054,0.0170616753309321,1.99176478130005,0.476981585058076,0.379569748929642,0.000203603507465543
0.122861874428519,0.0203943916091947,1.25741563081073,0.402623808376562,0.824750938467734,0.0001759907588735
0.174883117500739,0.013162190758363,0.924211013923632,0.454396981353373,0.421326195728602,0.000187289938563325
0.0165938948744638,0.0154579531867857,0.91338637249461,0.41935341620875,0.539470081039439,0.000178498229108581
0.0449871054677043,0.0200194936706286,0.784898720897277,0.343586471112016,0.815952438583169,0.000173723924177472
0.0532563887056182,0.0236898675322493,1.73796427520727,0.386671589314073,0.560781214845906,0.000176815318297948
0.0671272703003904,0.0199849106012313,0.242291499357992,0.26055566998126,0.805116930305909,0.000142608234567899
0.0620330817940889,0.0118375042610859,0.43811649258709,0.397873860542034,0.421170275929477,0.000167265682717031
0.176245390705605,0.00314552136614422,1.65450804233261,0.617231463780891,0.737997041524652,0.000220869248016424
0.0195511047229298,0.0108109277340418,0.530713128379636,0.460854925666933,0.381205111474543,0.000192000905568722
0.16056956935264,0.0195546216179297,1.23089064797262,0.343293418785492,0.768589648365672,0.000165364080999868
0.120070612433648,0.00550702197745793,0.288841730979874,0.49755522974173,0.434986367627374,0.000180613555058507
0.175575214359283,0.0168604698500345,1.77678983269341,0.455109176132874,0.198721882294931,0.000200798322034801
0.098045088005377,0.0202121584548549,1.24706049434827,0.40045681763281,0.382684052170244,0.000179121875361654
0.17753922536266,0.0173258672463824,0.175842824083888,0.271997884346421,0.541549260618158,0.000157276044558626
0.136471379494102,0.0209634099356892,1.71362326568555,0.368805677865522,0.497489294415741,0.000168328887465126
0.187812661414826,0.0170110786918961,0.634920937502646,0.349827667023219,0.627074150568984,0.000176336374866011
0.172650368772197,0.0204642931518452,1.86802334005,0.414549056062442,0.532563664180837,0.00018323957483585
0.051536328190533,0.014269910988212,0.561284922881362,0.382673077071669,0.773000474666698,0.000173550373031846
0.128376119047345,0.0243780267792965,1.44728397472863,0.312892830964805,0.421180074752341,0.000162282640091834
0.18765642695744,0.0055577628057328,0.290735030905444,0.497910345388945,0.892382300750916,0.000181548334590866
0.157185021249717,0.0107058704736618,0.780202035004498,0.434445409190625,0.602460425888257,0.000171121212116426
0.00283793447530455,0.0192316025964924,0.24517858481564,0.306483518307539,0.794755280664797,0.000160372025271555
0.0721077810736089,0.00777799752155142,0.174999987030712,0.473814925143614,0.390862854903811,0.000196933373267994
0.123244823169022,0.0107185759413386,0.107962874877098,0.452840027103168,0.905797805585738,0.000169151387579563
0.0915481914269585,0.0197996224536065,0.729534814569389,0.341057757780248,0.807464093091244,0.000159465140779113
0.0385446264789008,0.0192279965205627,1.29205740756931,0.401085217095638,0.772748677545054,0.000180141667270046
0.0915836212180111,0.0191613392960446,1.43502817423023,0.430682443801105,0.250851736166995,0.000189407009988624
0.0781811194655016,0.00735368616767855,0.651556172103288,0.505482227385358,0.374947329956403,0.000203145084061904
0.108546179048357,0.0217955004890257,0.712856731172978,0.248444708006516,0.526400066625639,0.000159259832674172
0.100204327754131,0.00853957844980227,0.558583859834264,0.454282361974232,0.127177881084816,0.000201434375990741
0.0337543540561197,0.0240176071062478,1.90636994329905,0.404010441398732,0.117043197512798,0.000195425876473103
0.0233015454128256,0.00534789317196305,0.761013866379513,0.57605723734993,0.478245110895756,0.00020320307815117
0.147918847218076,0.0184120981814534,1.07172279166345,0.377896845686749,0.383619374061193,0.000184092237085031
0.107877457927902,0.0116029735149263,0.457728943606282,0.466423102599486,0.481336024850554,0.000173074804623628
0.164831499177145,0.025324459993037,1.71060315970171,0.287512687517381,0.514877902455984,0.000162566720268395
